location_id,location_name,province,province_id,municipality,municipality_id,location_type,page,area
241620,A Fladjon,Liège,22.0,Ans (entité),43743.0,Gebied,1,4.780 m2
252470,A la Creux (réserve naturelle),Luxembourg,26.0,Léglise (entité),43953.0,Gebied,1,"18,13 ha"
241688,A St-Jacques,Namur,24.0,Somme-Leuze (entité),43891.0,Gebied,1,"30,22 ha"
27478,Aaigem (Dg),Oost-Vlaanderen,16.0,Erpe-Mere,24153.0,Deelgemeente,1,"7,41 km2"
31885,Aalbeke - Allartpark,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"2,16 ha"
71763,Aalbeke - Potyzer,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"2,08 ha"
83947,Aalbeke - Vijver Vandecasteele,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,1,"20,79 ha"
24033,Aalbeke (Dg),West-Vlaanderen,15.0,Kortrijk,24030.0,Deelgemeente,1,"7,35 km2"
724399,"Aalbeke/Marke - Kobbepoel, Preshoekbos",West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,1,"5,34 ha"
83946,Aalbeke/Marke - Preshoekbos en omgeving,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"4,09 km2"
24142,Aalst,Oost-Vlaanderen,16.0,—,,Gemeente,1,"78,59 km2"
675646,Aalst - Begraafplaats,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"8,17 ha"
247762,Aalst - Bergenmeers,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"9,76 ha"
259782,Aalst - Buurtpark Ten Rozen,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"5,55 ha"
192700,Aalst - Kravaalbos,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"1,59 km2"
192702,Aalst - Kravaalkouters - Oost,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"2,4 km2"
192703,Aalst - Kravaalkouters - West,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"62,19 ha"
142900,Aalst - Kravaalkouters (globaal),Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"3,39 km2"
251974,Aalst - Mijlbeekbos,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"42,47 ha"
