year,observation_count,individu_count
1971,2242,34987
1972,5281,80669
1973,6547,99533
1974,9548,147922
1975,9115,122869
1976,7035,94571
1977,7394,203219
1978,11301,253846
1979,15202,404617
1980,23498,544527
1981,34244,939880
1982,32669,1201891
1983,34838,911578
1984,34292,1319743
1985,39579,1232770
1986,42956,1038206
1987,38254,1440391
1988,42587,1336016
1989,49273,1435515
1990,55037,1592230
1991,51357,1643209
1992,50693,1630980
1993,60247,1922223
1994,65850,3038996
1995,75169,2869464
1996,103538,4442905
1997,83968,2970873
1998,82123,2515658
1999,85471,3225555
2000,80918,2485925
2001,81270,2989396
2002,94668,2574634
2003,97375,5952901
2004,110885,3593855
2005,114798,3783117
2006,111844,3405186
2007,128122,4018464
2008,285332,5779548
2009,696443,10263969
2010,957112,15900756
2011,1110214,18006820
2012,1239243,17747453
2013,1331236,21511687
2014,1488234,23065662
2015,1711651,62139358
2016,1864999,17873919
2017,2079958,19165061
2018,2208089,20509547
2019,2453732,21459569
2020,3440886,25425947
2021,3807834,116756886
2022,3432614,26575866
2023,3204569,833548443
2024,3270062,24715122
