location_name,location_id,province,province_id,municipality,municipality_id,location_type,page,area
A Fladjon,241620,Liège,22.0,Ans (entité),43743.0,Gebied,1,4.780 m2
A la Creux (réserve naturelle),252470,Luxembourg,26.0,Léglise (entité),43953.0,Gebied,1,"18,13 ha"
A St-Jacques,241688,Namur,24.0,Somme-Leuze (entité),43891.0,Gebied,1,"30,22 ha"
Aaigem (Dg),27478,Oost-Vlaanderen,16.0,Erpe-Mere,24153.0,Deelgemeente,1,"7,41 km2"
Aalbeke - Allartpark,31885,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"2,16 ha"
Aalbeke - Potyzer,71763,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"2,08 ha"
Aalbeke - Vijver Vandecasteele,83947,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,1,"20,79 ha"
Aalbeke (Dg),24033,West-Vlaanderen,15.0,Kortrijk,24030.0,Deelgemeente,1,"7,35 km2"
"Aalbeke/Marke - Kobbepoel, Preshoekbos",724399,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,1,"5,34 ha"
Aalbeke/Marke - Preshoekbos en omgeving,83946,West-Vlaanderen,15.0,Aalbeke (Dg),24033.0,Gebied,1,"4,09 km2"
Aalst,24142,Oost-Vlaanderen,16.0,—,,Gemeente,1,"78,59 km2"
Aalst - Begraafplaats,675646,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"8,17 ha"
Aalst - Bergenmeers,247762,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"9,76 ha"
Aalst - Buurtpark Ten Rozen,259782,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"5,55 ha"
Aalst - Kravaalbos,192700,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"1,59 km2"
Aalst - Kravaalkouters - Oost,192702,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"2,4 km2"
Aalst - Kravaalkouters - West,192703,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"62,19 ha"
Aalst - Kravaalkouters (globaal),142900,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"3,39 km2"
Aalst - Mijlbeekbos,251974,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"42,47 ha"
Aalst - Molenbeek-Graadbeek (Prov. Oost-Vlaanderen),613791,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"25,69 km2"
Aalst - Osbroek,30397,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"1,14 km2"
Aalst - Sint-Apollonia,28702,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"92,46 ha"
Aalst - Zandbekerheide/Asserenbos,252047,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"79,8 ha"
Aalst - Zwembadpark,671454,Oost-Vlaanderen,16.0,Aalst,24142.0,Gebied,1,"13,03 ha"
Aalst (Aalst) (Dg),27451,Oost-Vlaanderen,16.0,Aalst,24142.0,Deelgemeente,1,"19,25 km2"
Aalst (Sint-Truiden) (Dg),27661,Limburg,14.0,Sint-Truiden,23101.0,Deelgemeente,2,"4,21 km2"
Aalter,24194,Oost-Vlaanderen,16.0,—,,Gemeente,2,"82,41 km2"
Aalter - Centrum (6350A),30344,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"3,06 km2"
Aalter - Noord - Houtem (6360C),30336,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,65 km2"
Aalter - Noord - Industriepark (6360D),30335,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,69 km2"
Aalter - Noord - Oostergem (6360B),28746,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,59 km2"
Aalter - Noord - Oostmolen-zuid (6360E),30337,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"69,26 ha"
Aalter - Noord - Switten (6360A),30338,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"89,37 ha"
Aalter - Noord (6360),30334,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"6,52 km2"
Aalter - Zuid - Kraenepoel (6340C),30348,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"30,7 ha"
Aalter - Zuid - Loveld (6340B),30346,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,99 km2"
Aalter - Zuid - Orgelveld (6340A),30347,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,43 km2"
Aalter - Zuid (6340),30345,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"3,72 km2"
Aalterbrug - Aalterbrug dorp (6240A),30331,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"66,86 ha"
Aalterbrug - Doorn (6240B),30333,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,94 km2"
Aalterbrug - Kanaal Gent-Brugge Aalter (6240F),30329,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"29,14 ha"
Aalterbrug - Kanaal Gent-Brugge Aalterbrug (6240E),28386,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"24,17 ha"
Aalterbrug - Oostmolen-noord (6240D),30330,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"91,81 ha"
Aalterbrug - Woestijne (6240C),30332,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"1,32 km2"
Aalterbrug (6240),28745,Oost-Vlaanderen,16.0,Aalter,24194.0,Gebied,2,"5,36 km2"
Aarschot,23400,Vlaams-Brabant,20.0,—,,Gemeente,2,"63,04 km2"
Aarschot - Begraafplaats Herseltsesteenweg,600262,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"2,87 ha"
Aarschot - Biezenhuiskes,126455,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"5,03 km2"
Aarschot - Meertsels,126449,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"1,16 km2"
Aarschot - Meetshoven,126448,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,2,"1,71 km2"
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 192,126248,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,463 m2
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 204,126250,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,1.724 m2
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 91,126249,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,1.065 m2
Aarschot - Speelhoven,106159,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"37,39 ha"
Aarschot/Averbode - Demerbroeken,24333,Vlaams-Brabant,20.0,Scherpenheuvel-Zichem,91757.0,Gebied,3,"6,85 km2"
Aarschot/Testelt - Demervallei,28839,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"11,49 km2"
Aarschot/Testelt - Demervallei - Schoonhoven,31001,Vlaams-Brabant,20.0,Aarschot,23400.0,Gebied,3,"16,5 ha"
Aarsele - Bufferbekken Speibeek (Prov W-Vl),252654,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"1,82 ha"
Aarsele - Gavermeersen,31417,Oost-Vlaanderen,16.0,Dentergem,24065.0,Gebied,3,"1,12 km2"
Aarsele - Gavermeersen - Gaverbos,28882,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"4,36 ha"
Aarsele - Perron Aarsele en directe omgeving,191798,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,"1,33 ha"
Aarsele - Spoorweg tssn overgang N459 en veldweg,191799,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,2.869 m2
Aarsele - Spoorwegberm voorbij overgang tot paal 6,191595,West-Vlaanderen,15.0,Tielt,24063.0,Gebied,3,8.480 m2
Aarsele (Dg),27298,West-Vlaanderen,15.0,Tielt,24063.0,Deelgemeente,3,"15,13 km2"
Aarseleweiden (ASW),31653,West-Vlaanderen,15.0,Zeebrugge,24016.0,Gebied,3,"1,0 km2"
Aarstelaar Kasteel Kleidaal,29445,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"11,42 ha"
Aartrijke - Berkenhaag (BHAR),31410,West-Vlaanderen,15.0,Zedelgem,24008.0,Gebied,3,"1,55 km2"
Aartrijke - Centrum (CAR),28238,West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"1,37 km2"
Aartrijke - Heuvellandschap (HLAR),28881,West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"7,2 km2"
Aartrijke - Kasteel van Calloen (KAVC),31409,West-Vlaanderen,15.0,Zedelgem,24008.0,Gebied,3,"1,06 km2"
Aartrijke (Dg),24009,West-Vlaanderen,15.0,Zedelgem,24008.0,Deelgemeente,3,"21,11 km2"
Aartrijke/Zedelgem - Noordhoek (NHAZ),31408,West-Vlaanderen,15.0,Aartrijke (Dg),24009.0,Gebied,3,"7,08 km2"
Aartselaar,23345,Antwerpen,17.0,—,,Gemeente,3,"11,04 km2"
Aartselaar - Antwerpse Golfschool,29446,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"10,08 ha"
Aartselaar - Cleydaelhof,29439,Antwerpen,17.0,Aartselaar,23345.0,Gebied,3,"32,72 ha"
