location_name,location_id,province,province_id,municipality,municipality_id,location_type,page
A Fladjon,241620,Liège,22,Ans (entité),43743,Gebied,1
A la Creux (réserve naturelle),252470,Luxembourg,26,Léglise (entité),43953,Gebied,1
A St-Jacques,241688,Namur,24,Somme-Leuze (entité),43891,Gebied,1
Aaigem (Dg),27478,Oost-Vlaanderen,16,Erpe-Mere,24153,Deelgemeente,1
Aalbeke - Allartpark,31885,West-Vlaanderen,15,Aalbeke (Dg),24033,Gebied,1
Aalbeke - Potyzer,71763,West-Vlaanderen,15,Aalbeke (Dg),24033,Gebied,1
Aalbeke - Vijver Vandecasteele,83947,West-Vlaanderen,15,Kortrijk,24030,Gebied,1
Aalbeke (Dg),24033,West-Vlaanderen,15,Kortrijk,24030,Deelgemeente,1
"Aalbeke/Marke - Kobbepoel, Preshoekbos",724399,West-Vlaanderen,15,Kortrijk,24030,Gebied,1
Aalbeke/Marke - Preshoekbos en omgeving,83946,West-Vlaanderen,15,Aalbeke (Dg),24033,Gebied,1
Aalst,24142,Oost-Vlaanderen,16,—,,Gemeente,1
Aalst - Begraafplaats,675646,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Bergenmeers,247762,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Buurtpark Ten Rozen,259782,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Kravaalbos,192700,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Kravaalkouters - Oost,192702,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Kravaalkouters - West,192703,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Kravaalkouters (globaal),142900,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Mijlbeekbos,251974,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Molenbeek-Graadbeek (Prov. Oost-Vlaanderen),613791,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Osbroek,30397,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Sint-Apollonia,28702,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Zandbekerheide/Asserenbos,252047,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst - Zwembadpark,671454,Oost-Vlaanderen,16,Aalst,24142,Gebied,1
Aalst (Aalst) (Dg),27451,Oost-Vlaanderen,16,Aalst,24142,Deelgemeente,1
Aalst (Sint-Truiden) (Dg),27661,Limburg,14,Sint-Truiden,23101,Deelgemeente,2
Aalter,24194,Oost-Vlaanderen,16,—,,Gemeente,2
Aalter - Centrum (6350A),30344,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord - Houtem (6360C),30336,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord - Industriepark (6360D),30335,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord - Oostergem (6360B),28746,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord - Oostmolen-zuid (6360E),30337,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord - Switten (6360A),30338,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Noord (6360),30334,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Zuid - Kraenepoel (6340C),30348,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Zuid - Loveld (6340B),30346,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Zuid - Orgelveld (6340A),30347,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalter - Zuid (6340),30345,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Aalterbrug dorp (6240A),30331,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Doorn (6240B),30333,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Kanaal Gent-Brugge Aalter (6240F),30329,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Kanaal Gent-Brugge Aalterbrug (6240E),28386,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Oostmolen-noord (6240D),30330,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug - Woestijne (6240C),30332,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aalterbrug (6240),28745,Oost-Vlaanderen,16,Aalter,24194,Gebied,2
Aarschot,23400,Vlaams-Brabant,20,—,,Gemeente,2
Aarschot - Begraafplaats Herseltsesteenweg,600262,Vlaams-Brabant,20,Aarschot,23400,Gebied,2
Aarschot - Biezenhuiskes,126455,Vlaams-Brabant,20,Aarschot,23400,Gebied,2
Aarschot - Meertsels,126449,Vlaams-Brabant,20,Aarschot,23400,Gebied,2
Aarschot - Meetshoven,126448,Vlaams-Brabant,20,Aarschot,23400,Gebied,2
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 192,126248,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 204,126250,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarschot - Sleedoornpage - Biezenhuiskes - Houtkant 91,126249,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarschot - Speelhoven,106159,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarschot/Averbode - Demerbroeken,24333,Vlaams-Brabant,20,Scherpenheuvel-Zichem,91757,Gebied,3
Aarschot/Testelt - Demervallei,28839,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarschot/Testelt - Demervallei - Schoonhoven,31001,Vlaams-Brabant,20,Aarschot,23400,Gebied,3
Aarsele - Bufferbekken Speibeek (Prov W-Vl),252654,West-Vlaanderen,15,Tielt,24063,Gebied,3
